source_kind	source_index	source_key	parameter_monomial	coefficient_exact
FIRST	9	('X-2', 9)	(62,)	"(('46854453856/21075*V^13*U^8 - 654973001888/21075*V^11*U^11 + 3362048255488/21075*V^9*U^14 - 7418788712368/21075*V^7*U^17 + 5742346017088/21075*V^5*U^20 + 260671561216/21075*V^3*U^23 - 25587392512/21075*V*U^26', '1'), ('-3469973024/843*V^13*U^8 + 48506352352/843*V^11*U^11 - 248988426752/843*V^9*U^14 + 549424752272/843*V^7*U^17 - 425269833152/843*V^5*U^20 - 19304958464/843*V^3*U^23 + 1894965248/843*V*U^26', '1'), ('14373949492/4215*V^13*U^8 - 200931780716/4215*V^11*U^11 + 1031404868416/4215*V^9*U^14 - 2275926522826/4215*V^7*U^17 + 1761629574616/4215*V^5*U^20 + 79968488512/4215*V^3*U^23 - 7849667584/4215*V*U^26', '1'), ('-6438525128/4215*V^13*U^8 + 90003399544/4215*V^11*U^11 - 461997321344/4215*V^9*U^14 + 1019456073284/4215*V^7*U^17 - 789086972144/4215*V^5*U^20 - 35820295808/4215*V^3*U^23 + 3516102656/4215*V*U^26', '1'), ('517550544/1405*V^13*U^8 - 7234779312/1405*V^11*U^11 + 37136915712/1405*V^9*U^14 - 81947345832/1405*V^7*U^17 + 63429494112/1405*V^5*U^20 + 2879357184/1405*V^3*U^23 - 282636288/1405*V*U^26', '1'), ('-272099744/7025*V^13*U^8 + 3803650912/7025*V^11*U^11 - 19524557312/7025*V^9*U^14 + 43083428432/7025*V^7*U^17 - 33347755712/7025*V^5*U^20 - 1513808384/7025*V^3*U^23 + 148594688/7025*V*U^26', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'))"
FIRST	9	('X-2', 9)	(63,)	"(('-955946096/843*V^12*U^9 + 20069523056/1405*V^10*U^12 - 263847001952/4215*V^8*U^15 + 88750922816/843*V^6*U^18 - 183306472192/4215*V^4*U^21 + 136830976/1405*V^2*U^24', '1'), ('1769899600/843*V^12*U^9 - 7431599120/281*V^10*U^12 + 97700635040/843*V^8*U^15 - 164319121600/843*V^6*U^18 + 67877059840/843*V^4*U^21 - 50667520/281*V^2*U^24', '1'), ('-1466319610/843*V^12*U^9 + 6156902642/281*V^10*U^12 - 80942646164/843*V^8*U^15 + 136134473560/843*V^6*U^18 - 56234525344/843*V^4*U^21 + 41976832/281*V^2*U^24', '1'), ('656808740/843*V^12*U^9 - 2757862228/281*V^10*U^12 + 36256650376/843*V^8*U^15 - 60978733040/843*V^6*U^18 + 25189138496/843*V^4*U^21 - 18802688/281*V^2*U^24', '1'), ('-52796520/281*V^12*U^9 + 665059032/281*V^10*U^12 - 2914432848/281*V^8*U^15 + 4901677920/281*V^6*U^18 - 2024788608/281*V^4*U^21 + 4534272/281*V^2*U^24', '1'), ('5551504/281*V^12*U^9 - 349651632/1405*V^10*U^12 + 1532249248/1405*V^8*U^15 - 515406784/281*V^6*U^18 + 1064523008/1405*V^4*U^21 - 2383872/1405*V^2*U^24', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'))"
FIRST	9	('X-2', 9)	(64,)	"(('-21194369888/843*V^16*U^7 + 567937276736/1405*V^14*U^10 - 17637102847968/7025*V^12*U^13 + 144142294403392/21075*V^10*U^16 - 7530195584384/1405*V^8*U^19 - 49465420849344/7025*V^6*U^22 + 173039287216384/21075*V^4*U^25 - 1395265462272/1405*V^2*U^28', '1'), ('39240608800/843*V^16*U^7 - 210303062720/281*V^14*U^10 + 1306178304672/281*V^12*U^13 - 10674969656768/843*V^10*U^16 + 2788376919680/281*V^8*U^19 + 3663337459776/281*V^6*U^22 - 12815039111936/843*V^4*U^25 + 516656701440/281*V^2*U^28', '1'), ('-32509908580/843*V^16*U^7 + 174231072152/281*V^14*U^10 - 5410687878276/1405*V^12*U^13 + 44219788918744/4215*V^10*U^16 - 2310103780688/281*V^8*U^19 - 15174938610408/1405*V^6*U^22 + 53084771454688/4215*V^4*U^25 - 428037755904/281*V^2*U^28', '1'), ('14562167720/843*V^16*U^7 - 78043347568/281*V^14*U^10 + 2423610148584/1405*V^12*U^13 - 19807375994096/4215*V^10*U^16 + 1034765096992/281*V^8*U^19 + 6797312291472/1405*V^6*U^22 - 23778268812992/4215*V^4*U^25 + 191731009536/281*V^2*U^28', '1'), ('-1170556560/281*V^16*U^7 + 18820168992/281*V^14*U^10 - 584454075696/1405*V^12*U^13 + 1592184237408/1405*V^10*U^16 - 249533811648/281*V^8*U^19 - 1639173228768/1405*V^6*U^22 + 1911378105216/1405*V^4*U^25 - 46235971584/281*V^2*U^28', '1'), ('123082912/281*V^16*U^7 - 9894614592/1405*V^14*U^10 + 307273958496/7025*V^12*U^13 - 837083311808/7025*V^10*U^16 + 131191218048/1405*V^8*U^19 + 861787551168/7025*V^6*U^22 - 1004897974016/7025*V^4*U^25 + 24308342784/1405*V^2*U^28', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'))"
FIRST	9	('X-2', 9)	(65,)	"(('-209206010368/4215*V^15*U^8 + 12112359773408/21075*V^13*U^11 - 47378060034496/21075*V^11*U^14 + 46774855108192/21075*V^9*U^17 + 9333337616736/1405*V^7*U^20 - 116597388327808/7025*V^5*U^23 + 2389787203584/281*V^3*U^26 - 4521442770944/7025*V*U^29', '1'), ('77467471360/843*V^15*U^8 - 897023830432/843*V^13*U^11 + 3508750539584/843*V^11*U^14 - 3464078055968/843*V^9*U^17 - 3456067362720/281*V^7*U^20 + 8635033788032/281*V^5*U^23 - 4424604518400/281*V^3*U^26 + 334851506176/281*V*U^29', '1'), ('-64179952576/843*V^15*U^8 + 3715814256356/4215*V^13*U^11 - 14534580726472/4215*V^11*U^14 + 14349530289844/4215*V^9*U^17 + 2863269389652/281*V^7*U^20 - 35769597824656/1405*V^5*U^23 + 3665679325440/281*V^3*U^26 - 1387082436608/1405*V*U^29', '1'), ('28748134784/843*V^15*U^8 - 1664425179304/4215*V^13*U^11 + 6510476698448/4215*V^11*U^14 - 6427587031496/4215*V^9*U^17 - 1282544642568/281*V^7*U^20 + 16022280761504/1405*V^5*U^23 - 1641968232960/281*V^3*U^26 + 621316022272/1405*V*U^29', '1'), ('-2310872832/281*V^15*U^8 + 133792155792/1405*V^13*U^11 - 523334255904/1405*V^11*U^14 + 516671302608/1405*V^9*U^17 + 309285898992/281*V^7*U^20 - 3863776234176/1405*V^5*U^23 + 395960970240/281*V^3*U^26 - 149830483968/1405*V*U^29', '1'), ('1214930432/1405*V^15*U^8 - 70340591392/7025*V^13*U^11 + 275140503104/7025*V^11*U^14 - 271637487008/7025*V^9*U^17 - 162605594592/1405*V^7*U^20 + 2031362030976/7025*V^5*U^23 - 41634920448/281*V^3*U^26 + 78772666368/7025*V*U^29', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'))"
FIRST	9	('X-2', 9)	(66,)	"(('13364537984/21075*V^16*U^6 - 76970363728/843*V^14*U^9 + 20687199461504/21075*V^12*U^12 - 25412721357184/7025*V^10*U^15 + 3355249466368/843*V^8*U^18 + 75934564998592/21075*V^6*U^21 - 151890392248064/21075*V^4*U^24 + 6762597326848/7025*V^2*U^27', '1'), ('-989758336/843*V^16*U^6 + 142507842800/843*V^14*U^9 - 1532064044416/843*V^12*U^12 + 1882029355136/281*V^10*U^15 - 6212122956800/843*V^8*U^18 - 5623603957568/843*V^6*U^21 + 11248782566656/843*V^4*U^24 - 500828168192/281*V^2*U^27', '1'), ('4099955888/4215*V^16*U^6 - 118064349230/843*V^14*U^9 + 6346392620528/4215*V^12*U^12 - 7796082190288/1405*V^10*U^15 + 5146595722880/843*V^8*U^18 + 23295108835144/4215*V^6*U^21 - 46596740476448/4215*V^4*U^24 + 2074620967936/1405*V^2*U^27', '1'), ('-1836493792/4215*V^16*U^6 + 52884579820/843*V^14*U^9 - 2842740499552/4215*V^12*U^12 + 3492100143392/1405*V^10*U^15 - 2305315313920/843*V^8*U^18 - 10434581231696/4215*V^6*U^21 + 20872084224832/4215*V^4*U^24 - 929285249024/1405*V^2*U^27', '1'), ('147623616/1405*V^16*U^6 - 4251042360/281*V^14*U^9 + 228509148096/1405*V^12*U^12 - 842120653248/1405*V^10*U^15 + 185309084160/281*V^8*U^18 + 838767122208/1405*V^6*U^21 - 1677769105536/1405*V^4*U^24 + 224097325056/1405*V^2*U^27', '1'), ('-77612416/7025*V^16*U^6 + 446993072/281*V^14*U^9 - 120137600896/7025*V^12*U^12 + 442740939648/7025*V^10*U^15 - 19485074432/281*V^8*U^18 - 440977836608/7025*V^6*U^21 + 882079150336/7025*V^4*U^24 - 117818105856/7025*V^2*U^27', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'))"
FIRST	9	('X-2', 9)	(67,)	"(('-68521318208/7025*V^15*U^7 + 1163989043072/7025*V^13*U^10 - 7676406697936/7025*V^11*U^13 + 23069884549488/7025*V^9*U^16 - 5202132780624/1405*V^7*U^19 - 3391092768128/7025*V^5*U^22 + 7279377991424/7025*V^3*U^25 - 473366761472/7025*V*U^28', '1'), ('5074589632/281*V^15*U^7 - 86203343488/281*V^13*U^10 + 568503567344/281*V^11*U^13 - 1708522252752/281*V^9*U^16 + 1926312114480/281*V^7*U^19 + 251139421312/281*V^5*U^22 - 539100196096/281*V^3*U^25 + 35056857088/281*V*U^28', '1'), ('-21020882456/1405*V^15*U^7 + 357087071504/1405*V^13*U^10 - 2354958239302/1405*V^11*U^13 + 7077349707666/1405*V^9*U^16 - 1595903648118/281*V^7*U^19 - 1040315106896/1405*V^5*U^22 + 2233158279968/1405*V^3*U^25 - 145218850304/1405*V*U^28', '1'), ('9415886704/1405*V^15*U^7 - 159950059936/1405*V^13*U^10 + 1054856760668/1405*V^11*U^13 - 3170158205844/1405*V^9*U^16 + 714853335612/281*V^7*U^19 + 465988485664/1405*V^5*U^22 - 1000298888512/1405*V^3*U^25 + 65047899136/1405*V*U^28', '1'), ('-2270642976/1405*V^15*U^7 + 38571989184/1405*V^13*U^10 - 254378920392/1405*V^11*U^13 + 764484290136/1405*V^9*U^16 - 172387025928/281*V^7*U^19 - 112373217216/1405*V^5*U^22 + 241222278528/1405*V^3*U^25 - 15686313984/1405*V*U^28', '1'), ('1193779776/7025*V^15*U^7 - 20279040384/7025*V^13*U^10 + 133738510992/7025*V^11*U^13 - 401923989936/7025*V^9*U^16 + 90631661328/1405*V^7*U^19 + 59079686016/7025*V^5*U^22 - 126821468928/7025*V^3*U^25 + 8247005184/7025*V*U^28', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'))"
FIRST	9	('X-2', 9)	(68,)	"(('-188375632256/7025*V^14*U^8 + 2334671045056/7025*V^12*U^11 - 10499172274496/7025*V^10*U^14 + 59174852835008/21075*V^8*U^17 - 30512291036608/21075*V^6*U^20 - 24702793080064/21075*V^4*U^23 + 1943957676032/7025*V^2*U^26', '1'), ('13950826624/281*V^14*U^8 - 172902357824/281*V^12*U^11 + 777553499584/281*V^10*U^14 - 4382403936832/843*V^8*U^17 + 2259696103232/843*V^6*U^20 + 1829453094656/843*V^4*U^23 - 143966691328/281*V^2*U^26', '1'), ('-57789635792/1405*V^14*U^8 + 716227400392/1405*V^12*U^11 - 3220922656472/1405*V^10*U^14 + 18153585750056/4215*V^8*U^17 - 9360521661256/4215*V^6*U^20 - 7578291300448/4215*V^4*U^23 + 596364852224/1405*V^2*U^26', '1'), ('25885719328/1405*V^14*U^8 - 320819835728/1405*V^12*U^11 + 1442748318448/1405*V^10*U^14 - 8131538105104/4215*V^8*U^17 + 4192859725904/4215*V^6*U^20 + 3394545040832/4215*V^4*U^23 - 267129788416/1405*V^2*U^26', '1'), ('-6242346432/1405*V^14*U^8 + 77365768032/1405*V^12*U^11 - 347919047712/1405*V^10*U^14 + 653640684192/1405*V^8*U^17 - 337036322592/1405*V^6*U^20 - 272865073536/1405*V^4*U^23 + 64418402304/1405*V^2*U^26', '1'), ('3281884032/7025*V^14*U^8 - 40674685632/7025*V^12*U^11 + 182916789312/7025*V^10*U^14 - 343648489792/7025*V^8*U^17 + 177195248192/7025*V^6*U^20 + 143457518336/7025*V^4*U^23 - 33867669504/7025*V^2*U^26', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'))"
FIRST	9	('X-2', 9)	(69,)	"(('-7647568768/1405*V^13*U^9 + 57419836288/843*V^11*U^12 - 2074316974464/7025*V^9*U^15 + 3470334472608/7025*V^7*U^18 - 4969442352256/21075*V^5*U^21 + 529552980992/7025*V^3*U^24 - 51174785024/7025*V*U^27', '1'), ('2831839360/281*V^13*U^9 - 106310748800/843*V^11*U^12 + 153620912256/281*V^9*U^15 - 257007947232/281*V^7*U^18 + 368029706624/843*V^5*U^21 - 39217927168/281*V^3*U^24 + 3789930496/281*V*U^27', '1'), ('-2346111376/281*V^13*U^9 + 88075920080/843*V^11*U^12 - 636356311248/1405*V^9*U^15 + 1064624775756/1405*V^7*U^18 - 1524519175792/4215*V^5*U^21 + 162455586944/1405*V^3*U^24 - 15699335168/1405*V*U^27', '1'), ('1050893984/281*V^13*U^9 - 39451858720/843*V^11*U^12 + 285043168032/1405*V^9*U^15 - 476877518904/1405*V^7*U^18 + 682878079328/4215*V^5*U^21 - 72768752896/1405*V^3*U^24 + 7032205312/1405*V*U^27', '1'), ('-253423296/281*V^13*U^9 + 3171274560/281*V^11*U^12 - 68738217408/1405*V^9*U^15 + 114999109776/1405*V^7*U^18 - 54892062144/1405*V^5*U^21 + 17548199424/1405*V^3*U^24 - 1695817728/1405*V*U^27', '1'), ('133236096/1405*V^13*U^9 - 333456512/281*V^11*U^12 + 36138791808/7025*V^9*U^15 - 60460236576/7025*V^7*U^18 + 28859241344/7025*V^5*U^21 - 9225882624/7025*V^3*U^24 + 891568128/7025*V*U^27', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'))"
FIRST	9	('X-2', 9)	(70,)	"(('19066541312/7025*V^14*U^7 - 285526694208/7025*V^12*U^10 + 1643665262576/7025*V^10*U^13 - 4519972906944/7025*V^8*U^16 + 5941089802752/7025*V^6*U^19 - 3070726555648/7025*V^4*U^22 + 1641971712/1405*V^2*U^25', '1'), ('-1412040448/281*V^14*U^7 + 21145693632/281*V^12*U^10 - 121727469904/281*V^10*U^13 + 334742650176/281*V^8*U^16 - 439988510208/281*V^6*U^19 + 227413563392/281*V^4*U^22 - 608010240/281*V^2*U^25', '1'), ('5849209184/1405*V^14*U^7 - 87593514456/1405*V^12*U^10 + 504241529282/1405*V^10*U^13 - 1386631513608/1405*V^8*U^16 + 1822599939264/1405*V^6*U^19 - 942033569536/1405*V^4*U^22 + 503721984/281*V^2*U^25', '1'), ('-2620037056/1405*V^14*U^7 + 39235774704/1405*V^12*U^10 - 225864975988/1405*V^10*U^13 + 621114040272/1405*V^8*U^16 - 816397435776/1405*V^6*U^19 + 421965223424/1405*V^4*U^22 - 225632256/281*V^2*U^25', '1'), ('631822464/1405*V^14*U^7 - 9461714976/1405*V^12*U^10 + 54467384472/1405*V^10*U^13 - 149781775968/1405*V^8*U^16 + 196874406144/1405*V^6*U^19 - 101756998656/1405*V^4*U^22 + 54411264/281*V^2*U^25', '1'), ('-332177664/7025*V^14*U^7 + 4974451776/7025*V^12*U^10 - 28635969072/7025*V^10*U^13 + 78747058368/7025*V^8*U^16 - 103505785344/7025*V^6*U^19 + 53498259456/7025*V^4*U^22 - 28606464/1405*V^2*U^25', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'))"
FIRST	9	('X-2', 9)	(71,)	"(('38133082624/7025*V^13*U^8 - 1426721353616/21075*V^11*U^11 + 2046066455632/7025*V^9*U^14 - 9907456339712/21075*V^7*U^17 + 1146195671232/7025*V^5*U^20 + 16423993088/21075*V^3*U^23 - 1573556224/21075*V*U^26', '1'), ('-2824080896/281*V^13*U^8 + 105660918064/843*V^11*U^11 - 151528719728/281*V^9*U^14 + 733731874048/843*V^7*U^17 - 84885592128/281*V^5*U^20 - 1216337152/843*V^3*U^23 + 116535296/843*V*U^26', '1'), ('11698418368/1405*V^13*U^8 - 437687754062/4215*V^11*U^11 + 627689653174/1405*V^9*U^14 - 3039396797984/4215*V^7*U^17 + 351628443624/1405*V^5*U^20 + 5038531616/4215*V^3*U^23 - 482733568/4215*V*U^26', '1'), ('-5240074112/1405*V^13*U^8 + 196053534508/4215*V^11*U^11 - 281161110716/1405*V^9*U^14 + 1361437416256/4215*V^7*U^17 - 157504976016/1405*V^5*U^20 - 2256910144/4215*V^3*U^23 + 216230912/4215*V*U^26', '1'), ('1263644928/1405*V^13*U^8 - 15759449784/1405*V^11*U^11 + 67802058504/1405*V^9*U^14 - 109436969088/1405*V^7*U^17 + 37982356704/1405*V^5*U^20 + 181418112/1405*V^3*U^23 - 17381376/1405*V*U^26', '1'), ('-664355328/7025*V^13*U^8 + 8285455984/7025*V^11*U^11 - 35646610704/7025*V^9*U^14 + 57535967488/7025*V^7*U^17 - 19969043904/7025*V^5*U^20 - 95379712/7025*V^3*U^23 + 9138176/7025*V*U^26', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'))"
FIRST	9	('X-2', 9)	(72,)	"(('-235345537248/1405*V^16*U^7 + 3437286584928/1405*V^14*U^10 - 294615366547984/21075*V^12*U^13 + 799108943539184/21075*V^10*U^16 - 928202290867664/21075*V^8*U^19 + 6741250625600/843*V^6*U^22 + 125509871811584/21075*V^4*U^25 - 9238622253056/7025*V^2*U^28', '1'), ('87146748960/281*V^16*U^7 - 1272802342560/281*V^14*U^10 + 21818787548336/843*V^12*U^13 - 59180851533136/843*V^10*U^16 + 68741317955056/843*V^8*U^19 - 12481181560000/843*V^6*U^22 - 9295079412736/843*V^4*U^25 + 684198989824/281*V^2*U^28', '1'), ('-72199003236/281*V^16*U^7 + 1054486386996/281*V^14*U^10 - 90381725744638/4215*V^12*U^13 + 245149620745538/4215*V^10*U^16 - 284752712907398/4215*V^8*U^19 + 10340361271000/843*V^6*U^22 + 38503758121088/4215*V^4*U^25 - 2834212731392/1405*V^2*U^28', '1'), ('32340109224/281*V^16*U^7 - 472336229064/281*V^14*U^10 + 40484698561292/4215*V^12*U^13 - 109809902571892/4215*V^10*U^16 + 127549320967132/4215*V^8*U^19 - 4631759414000/843*V^6*U^22 - 17246993550592/4215*V^4*U^25 + 1269529289728/1405*V^2*U^28', '1'), ('-7798823856/281*V^16*U^7 + 113903976816/281*V^14*U^10 - 3254297738616/1405*V^12*U^13 + 8826893377416/1405*V^10*U^16 - 10252848150936/1405*V^8*U^19 + 372316572000/281*V^6*U^22 + 1386371990016/1405*V^4*U^25 - 306147244032/1405*V^2*U^28', '1'), ('4100194656/1405*V^16*U^7 - 59884475616/1405*V^14*U^10 + 1710931602416/7025*V^12*U^13 - 4640697331216/7025*V^10*U^16 + 5390386290736/7025*V^8*U^19 - 39148734400/281*V^6*U^22 - 728878498816/7025*V^4*U^25 + 160955461632/7025*V^2*U^28', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'))"
FIRST	9	('X-2', 9)	(73,)	"(('-1097086178752/4215*V^15*U^8 + 4061569895488/1405*V^13*U^11 - 216938352606832/21075*V^11*U^14 + 158965260578224/21075*V^9*U^17 + 119766056197744/4215*V^7*U^20 - 385452863667968/7025*V^5*U^23 + 166011844983552/7025*V^3*U^26 - 11776973688832/7025*V*U^29', '1'), ('406243071040/843*V^15*U^8 - 1503969933760/281*V^13*U^11 + 16066140344528/843*V^11*U^14 - 11772737073296/843*V^9*U^17 - 44348503716880/843*V^7*U^20 + 28546081084672/281*V^5*U^23 - 12294596913408/281*V^3*U^26 + 872185622528/281*V*U^29', '1'), ('-336562696264/843*V^15*U^8 + 1246003223416/281*V^13*U^11 - 66552070649074/4215*V^11*U^14 + 48767159543818/4215*V^9*U^17 + 36741677705458/843*V^7*U^20 - 118248737055776/1405*V^5*U^23 + 50928901704864/1405*V^3*U^26 - 3612924941824/1405*V*U^29', '1'), ('150756573776/843*V^15*U^8 - 558122391344/281*V^13*U^11 + 29810677951316/4215*V^11*U^14 - 21844280329412/4215*V^9*U^17 - 16457704633172/843*V^7*U^20 + 52967172683584/1405*V^5*U^23 - 22812589786176/1405*V^3*U^26 + 1618337954816/1405*V*U^29', '1'), ('-12118326048/281*V^15*U^8 + 134591327136/281*V^13*U^11 - 2396283664968/1405*V^11*U^14 + 1755917534376/1405*V^9*U^17 + 1322926262856/281*V^7*U^20 - 12773044365696/1405*V^5*U^23 + 5501260623744/1405*V^3*U^26 - 390262523904/1405*V*U^29', '1'), ('6371152448/1405*V^15*U^8 - 70760751936/1405*V^13*U^11 + 1259834772368/7025*V^11*U^14 - 923165316176/7025*V^9*U^17 - 695522208656/1405*V^7*U^20 + 6715367498496/7025*V^5*U^23 - 2892261682944/7025*V^3*U^26 + 205178671104/7025*V*U^29', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'))"
FIRST	9	('X-2', 9)	(74,)	"(('142116072448/21075*V^16*U^6 - 1992219725104/4215*V^14*U^9 + 98433819480496/21075*V^12*U^12 - 333499256772176/21075*V^10*U^15 + 288073450593376/21075*V^8*U^18 + 424062509072272/21075*V^6*U^21 - 37421913247168/1405*V^4*U^24 + 25140878829568/7025*V^2*U^27', '1'), ('-10524910592/843*V^16*U^6 + 737704544080/843*V^14*U^9 - 7289866173584/843*V^12*U^12 + 24698472168304/843*V^10*U^15 - 21334302723104/843*V^8*U^18 - 31405455530288/843*V^6*U^21 + 13857063607360/281*V^4*U^24 - 1861897091072/281*V^2*U^27', '1'), ('43598187136/4215*V^16*U^6 - 611170621978/843*V^14*U^9 + 30197401379722/4215*V^12*U^12 - 102310475908982/4215*V^10*U^15 + 88374805126132/4215*V^8*U^18 + 130093354744654/4215*V^6*U^21 - 11480246735176/281*V^4*U^24 + 7712686686976/1405*V^2*U^27', '1'), ('-19528941824/4215*V^16*U^6 + 273761738852/843*V^14*U^9 - 13526326058948/4215*V^12*U^12 + 45827945225788/4215*V^10*U^15 - 39585738338888/4215*V^8*U^18 - 58272733877036/4215*V^6*U^21 + 5142348463184/281*V^4*U^24 - 3454744784384/1405*V^2*U^27', '1'), ('1569802752/1405*V^16*U^6 - 22005899496/281*V^14*U^9 + 1087292084904/1405*V^12*U^12 - 3683806075224/1405*V^10*U^15 + 3182036259024/1405*V^8*U^18 + 4684160505528/1405*V^6*U^21 - 1240078368096/281*V^4*U^24 + 833112400896/1405*V^2*U^27', '1'), ('-825316352/7025*V^16*U^6 + 11569497296/1405*V^14*U^9 - 571638657104/7025*V^12*U^12 + 1936743573424/7025*V^10*U^15 - 1672940472224/7025*V^8*U^18 - 2462675170928/7025*V^6*U^21 + 651965320896/1405*V^4*U^24 - 438004893696/7025*V^2*U^27', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'))"
FIRST	9	('X-2', 9)	(75,)	"(('-235630423616/7025*V^15*U^7 + 15267298044592/21075*V^13*U^10 - 121842627676336/21075*V^11*U^13 + 146025940887024/7025*V^9*U^16 - 652922707836256/21075*V^7*U^19 + 62589504048832/7025*V^5*U^22 + 4577180013824/843*V^3*U^25 - 1835792789504/4215*V*U^28', '1'), ('17450448064/281*V^15*U^7 - 1130673991568/843*V^13*U^10 + 9023488620944/843*V^11*U^13 - 10814469788496/281*V^9*U^16 + 48354510542624/843*V^7*U^19 - 4635288062528/281*V^5*U^22 - 8474483142400/843*V^3*U^25 + 679780782080/843*V*U^28', '1'), ('-72286400312/1405*V^15*U^7 + 4683682188394/4215*V^13*U^10 - 37378725650602/4215*V^11*U^13 + 44797651580418/1405*V^9*U^16 - 200302794126292/4215*V^7*U^19 + 19201128086824/1405*V^5*U^22 + 7020907183840/843*V^3*U^25 - 563182166528/843*V*U^28', '1'), ('32379257008/1405*V^15*U^7 - 2097962392196/4215*V^13*U^10 + 16743057604868/4215*V^11*U^13 - 20066218093812/1405*V^9*U^16 + 89721657496328/4215*V^7*U^19 - 8600763884816/1405*V^5*U^22 - 3144875898560/843*V^3*U^25 + 252266263552/843*V*U^28', '1'), ('-7808264352/1405*V^15*U^7 + 168641351208/1405*V^13*U^10 - 1345863905064/1405*V^11*U^13 + 4838972536728/1405*V^9*U^16 - 7212131928144/1405*V^7*U^19 + 2074075943904/1405*V^5*U^22 + 252795818880/281*V^3*U^25 - 20278020096/281*V*U^28', '1'), ('4105157952/7025*V^15*U^7 - 88662390608/7025*V^13*U^10 + 707581565264/7025*V^11*U^13 - 2544066862128/7025*V^9*U^16 + 3791744157344/7025*V^7*U^19 - 1090435591104/7025*V^5*U^22 - 26581240576/281*V^3*U^25 + 10661072896/1405*V*U^28', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'))"
