k	label	terms	degree	leadcoef	leadmonom	trailcoef	trailmonom
288	J_3_21	3668	4	-2	B2c_40_21*target_b*Hfact_0_0*Hfact_0_1	-7680	A3c_82_16
289	J_4_20	3384	4	-5/2	B2c_40_20*target_b*Hfact_0_0*Hfact_0_1	33600	A3c_86_12
290	J_5_19	2544	4	-3	B2c_40_19*target_b*Hfact_0_0*Hfact_0_1	-87360	A3c_90_8
291	J_6_18	1462	4	147/2	B2c_60_3*target_b*Hfact_0_0*Hfact_0_1	122304	A3c_94_4
292	J_7_17	336	4	-20	B2c_47_13*target_b*Hfact_1_1^2	26208	A3c_94_3
293	J_0_25	1794	4	-1/2	B2c_39_25*target_b*Hfact_0_0*Hfact_0_1	-2	A3c_97_1*Hfact_0_25
294	J_1_24	2958	4	-1	B2c_39_24*target_b*Hfact_0_0*Hfact_0_1	-50	A3c_73_25
295	J_2_23	3696	4	-3/2	B2c_39_23*target_b*Hfact_0_0*Hfact_0_1	1008	A3c_77_21
296	J_3_22	4140	4	-2	B2c_39_22*target_b*Hfact_0_0*Hfact_0_1	-8160	A3c_81_17
297	J_4_21	3866	4	-5/2	B2c_39_21*target_b*Hfact_0_0*Hfact_0_1	36400	A3c_85_13
298	J_5_20	2988	4	-3	B2c_39_20*target_b*Hfact_0_0*Hfact_0_1	-98280	A3c_89_9
299	J_6_19	1937	4	-21	B2c_47_13*target_b*Hfact_0_0*Hfact_0_1	152880	A3c_93_5
300	J_7_18	658	4	-231/2	B2c_60_3*target_b*Hfact_0_0*Hfact_1_1	-64064	A3c_97_1
301	J_8_17	8	2	53865/2	B2c_60_3^2	-746928	A3c_97_0
302	J_0_26	1923	4	-1/2	B2c_38_26*target_b*Hfact_0_0*Hfact_0_1	-2	A3c_97_1*Hfact_0_26
303	J_1_25	3147	4	-1	B2c_38_25*target_b*Hfact_0_0*Hfact_0_1	-52	A3c_72_26
304	J_2_24	4141	4	-3/2	B2c_38_24*target_b*Hfact_0_0*Hfact_0_1	1056	A3c_76_22
305	J_3_23	4410	4	-2	B2c_38_23*target_b*Hfact_0_0*Hfact_0_1	-8640	A3c_80_18
306	J_4_22	4371	4	-5/2	B2c_38_22*target_b*Hfact_0_0*Hfact_0_1	39200	A3c_84_14
307	J_5_21	3564	4	-3	B2c_38_21*target_b*Hfact_0_0*Hfact_0_1	-109200	A3c_88_10
308	J_6_20	2167	4	-7/2	B2c_38_20*target_b*Hfact_0_0*Hfact_0_1	183456	A3c_92_6
309	J_7_19	942	4	36	B2c_47_13*target_b*Hfact_0_0*Hfact_1_1	-128128	A3c_96_2
310	J_8_18	69	3	15015/2	B2c_60_3^2*Hfact_1_1	81144	A3c_96_1
311	J_0_27	2058	4	-1/2	B2c_37_27*target_b*Hfact_0_0*Hfact_0_1	-2	A3c_97_1*Hfact_0_27
312	J_1_26	3438	4	-1	B2c_37_26*target_b*Hfact_0_0*Hfact_0_1	-54	A3c_71_27
313	J_2_25	4503	4	-3/2	B2c_37_25*target_b*Hfact_0_0*Hfact_0_1	1104	A3c_75_23
314	J_3_24	5048	4	-2	B2c_37_24*target_b*Hfact_0_0*Hfact_0_1	-9120	A3c_79_19
315	J_4_23	4916	4	-5/2	B2c_37_23*target_b*Hfact_0_0*Hfact_0_1	42000	A3c_83_15
316	J_5_22	4193	4	-3	B2c_37_22*target_b*Hfact_0_0*Hfact_0_1	-120120	A3c_87_11
317	J_6_21	2991	4	-7/2	B2c_37_21*target_b*Hfact_0_0*Hfact_0_1	214032	A3c_91_7
318	J_7_20	1488	4	13/2	B2c_38_20*target_b*Hfact_0_0*Hfact_1_1	-192192	A3c_95_3
319	J_8_19	231	4	-231/2	B2c_60_3*target_b*Hfact_1_1^2	16016	A3c_95_2
320	J_0_28	2196	4	-1/2	B2c_36_28*target_b*Hfact_0_0*Hfact_0_1	-2	A3c_97_1*Hfact_0_28
321	J_1_27	3642	4	-1	B2c_36_27*target_b*Hfact_0_0*Hfact_0_1	-56	A3c_70_28
322	J_2_26	4762	4	-3/2	B2c_36_26*target_b*Hfact_0_0*Hfact_0_1	1152	A3c_74_24
323	J_3_25	5475	4	-2	B2c_36_25*target_b*Hfact_0_0*Hfact_0_1	-9600	A3c_78_20
324	J_4_24	5235	4	-5/2	B2c_36_24*target_b*Hfact_0_0*Hfact_0_1	44800	A3c_82_16
325	J_5_23	4513	4	-3	B2c_36_23*target_b*Hfact_0_0*Hfact_0_1	-131040	A3c_86_12
326	J_6_22	3597	4	-7/2	B2c_36_22*target_b*Hfact_0_0*Hfact_0_1	244608	A3c_90_8
327	J_7_21	1968	4	-28	B2c_60_3*target_b*Hfact_0_0*Hfact_0_1	-256256	A3c_94_4
328	J_8_20	446	4	36	B2c_47_13*target_b*Hfact_1_1^2	-48048	A3c_94_3
329	J_0_29	2340	4	-1/2	B2c_35_29*target_b*Hfact_0_0*Hfact_0_1	-2	A3c_97_1*Hfact_0_29
330	J_1_28	3954	4	-1	B2c_35_28*target_b*Hfact_0_0*Hfact_0_1	-58	A3c_69_29
331	J_2_27	5268	4	-3/2	B2c_35_27*target_b*Hfact_0_0*Hfact_0_1	1200	A3c_73_25
332	J_3_26	6046	4	-2	B2c_35_26*target_b*Hfact_0_0*Hfact_0_1	-10080	A3c_77_21
333	J_4_25	6092	4	-5/2	B2c_35_25*target_b*Hfact_0_0*Hfact_0_1	47600	A3c_81_17
334	J_5_24	5471	4	-3	B2c_35_24*target_b*Hfact_0_0*Hfact_0_1	-141960	A3c_85_13
335	J_6_23	4261	4	-7/2	B2c_35_23*target_b*Hfact_0_0*Hfact_0_1	275184	A3c_89_9
336	J_7_22	2631	4	16	B2c_47_13*target_b*Hfact_0_0*Hfact_0_1	-320320	A3c_93_5
337	J_8_21	865	4	91/2	B2c_60_3*target_b*Hfact_0_0*Hfact_1_1	102960	A3c_97_1
338	J_9_20	8	2	-183141/2	B2c_60_3^2	3255840	A3c_97_0
339	J_0_30	2487	4	-1/2	B2c_34_30*target_b*Hfact_0_0*Hfact_0_1	-2	A3c_97_1*Hfact_0_30
340	J_1_29	4173	4	-1	B2c_34_29*target_b*Hfact_0_0*Hfact_0_1	-60	A3c_68_30
341	J_2_28	5671	4	-3/2	B2c_34_28*target_b*Hfact_0_0*Hfact_0_1	1248	A3c_72_26
342	J_3_27	6376	4	-2	B2c_34_27*target_b*Hfact_0_0*Hfact_0_1	-10560	A3c_76_22
343	J_4_26	6723	4	-5/2	B2c_34_26*target_b*Hfact_0_0*Hfact_0_1	50400	A3c_80_18
344	J_5_25	6108	4	-3	B2c_34_25*target_b*Hfact_0_0*Hfact_0_1	-152880	A3c_84_14
345	J_6_24	4975	4	-7/2	B2c_34_24*target_b*Hfact_0_0*Hfact_0_1	305760	A3c_88_10
346	J_7_23	2954	4	4	B2c_38_20*target_b*Hfact_0_0*Hfact_0_1	-384384	A3c_92_6
347	J_8_22	1395	4	-28	B2c_47_13*target_b*Hfact_0_0*Hfact_1_1	205920	A3c_96_2
348	J_9_21	77	3	-18018	B2c_60_3^2*Hfact_1_1	-155520	A3c_96_1
349	J_0_31	2630	4	-1/2	B2c_33_31*target_b*Hfact_0_0*Hfact_0_1	-2	A3c_97_1*Hfact_0_31
350	J_1_30	4496	4	-1	B2c_33_30*target_b*Hfact_0_0*Hfact_0_1	-62	A3c_67_31
351	J_2_29	5957	4	-3/2	B2c_33_29*target_b*Hfact_0_0*Hfact_0_1	1296	A3c_71_27
352	J_3_28	7124	4	-2	B2c_33_28*target_b*Hfact_0_0*Hfact_0_1	-11040	A3c_75_23
353	J_4_27	7384	4	-5/2	B2c_33_27*target_b*Hfact_0_0*Hfact_0_1	53200	A3c_79_19
354	J_5_26	6773	4	-3	B2c_33_26*target_b*Hfact_0_0*Hfact_0_1	-163800	A3c_83_15
355	J_6_25	5737	4	-7/2	B2c_33_25*target_b*Hfact_0_0*Hfact_0_1	336336	A3c_87_11
356	J_7_24	4046	4	-4	B2c_33_24*target_b*Hfact_0_0*Hfact_0_1	-448448	A3c_91_7
357	J_8_23	1881	4	-15/2	B2c_38_20*target_b*Hfact_0_0*Hfact_1_1	308880	A3c_95_3
358	J_9_22	280	4	91/2	B2c_60_3*target_b*Hfact_1_1^2	-34320	A3c_95_2
359	J_0_32	2771	4	-1/2	B2c_32_32*target_b*Hfact_0_0*Hfact_0_1	-4	A3c_96_2*Hfact_0_31
360	J_1_31	4719	4	-1	B2c_32_31*target_b*Hfact_0_0*Hfact_0_1	-64	A3c_66_32
361	J_2_30	6505	4	-3/2	B2c_32_30*target_b*Hfact_0_0*Hfact_0_1	1344	A3c_70_28
362	J_3_29	7621	4	-2	B2c_32_29*target_b*Hfact_0_0*Hfact_0_1	-11520	A3c_74_24
363	J_4_28	8067	4	-5/2	B2c_32_28*target_b*Hfact_0_0*Hfact_0_1	56000	A3c_78_20
364	J_5_27	7611	4	-3	B2c_32_27*target_b*Hfact_0_0*Hfact_0_1	-174720	A3c_82_16
365	J_6_26	6548	4	-7/2	B2c_32_26*target_b*Hfact_0_0*Hfact_0_1	366912	A3c_86_12
366	J_7_25	4779	4	-4	B2c_32_25*target_b*Hfact_0_0*Hfact_0_1	-512512	A3c_90_8
367	J_8_24	2683	4	9/2	B2c_60_3*target_b*Hfact_0_0*Hfact_0_1	411840	A3c_94_4
368	J_9_23	577	4	-28	B2c_47_13*target_b*Hfact_1_1^2	68640	A3c_94_3
369	J_0_33	2898	4	-1/2	B2c_32_32*target_b*Hfact_0_1^2	-2	A3c_97_1
370	J_1_32	5044	4	-1	B2c_31_32*target_b*Hfact_0_0*Hfact_0_1	-36	A3c_97_1
371	J_2_31	6938	4	-3/2	B2c_31_31*target_b*Hfact_0_0*Hfact_0_1	-216	A3c_97_1
372	J_3_30	8272	4	-2	B2c_31_30*target_b*Hfact_0_0*Hfact_0_1	-672	A3c_97_1
373	J_4_29	8473	4	-5/2	B2c_31_29*target_b*Hfact_0_0*Hfact_0_1	-1260	A3c_97_1
374	J_5_28	8491	4	-3	B2c_31_28*target_b*Hfact_0_0*Hfact_0_1	-1512	A3c_97_1
375	J_6_27	6974	4	-7/2	B2c_31_27*target_b*Hfact_0_0*Hfact_0_1	-1176	A3c_97_1
376	J_7_26	5693	4	-4	B2c_31_26*target_b*Hfact_0_0*Hfact_0_1	-576	A3c_97_1
377	J_8_25	3476	4	-9/2	B2c_47_13*target_b*Hfact_0_0*Hfact_0_1	-162	A3c_97_1
378	J_9_24	994	4	-15/2	B2c_60_3*target_b*Hfact_0_0*Hfact_1_1	-128700	A3c_97_1
379	J_10_23	8	2	244188	B2c_60_3^2	-10046592	A3c_97_0
380	J_0_34	3012	4	-3/2	B2c_32_32*target_b*Hfact_0_1*Hfact_0_2	-4	A3c_96_2
381	J_1_33	5239	4	-1	B2c_31_32*target_b*Hfact_0_1^2	-72	A3c_96_2
382	J_2_32	7217	4	-3/2	B2c_31_31*target_b*Hfact_0_1^2	-432	A3c_96_2
383	J_3_31	8622	4	-2	B2c_31_30*target_b*Hfact_0_1^2	-1344	A3c_96_2
384	J_4_30	9499	4	-5/2	B2c_31_29*target_b*Hfact_0_1^2	-2520	A3c_96_2
385	J_5_29	8918	4	-3	B2c_31_28*target_b*Hfact_0_1^2	-3024	A3c_96_2
386	J_6_28	8299	4	-7/2	B2c_31_27*target_b*Hfact_0_1^2	-2352	A3c_96_2
387	J_7_27	6386	4	-4	B2c_31_26*target_b*Hfact_0_1^2	-1152	A3c_96_2
388	J_8_26	3837	4	-9/2	B2c_47_13*target_b*Hfact_0_1^2	-324	A3c_96_2
389	J_9_25	1743	4	8	B2c_47_13*target_b*Hfact_0_0*Hfact_1_1	-257400	A3c_96_2
390	J_10_24	82	3	63063/2	B2c_60_3^2*Hfact_1_1	327726	A3c_96_1
391	J_0_35	3121	4	-1	B2c_32_32*target_b*Hfact_0_2^2	-6	A3c_95_3
392	J_1_34	5538	4	-3	B2c_31_32*target_b*Hfact_0_1*Hfact_0_2	-108	A3c_95_3
393	J_2_33	7769	4	-9/2	B2c_31_31*target_b*Hfact_0_1*Hfact_0_2	-648	A3c_95_3
394	J_3_32	9434	4	-6	B2c_31_30*target_b*Hfact_0_1*Hfact_0_2	-2016	A3c_95_3
395	J_4_31	10231	4	-15/2	B2c_31_29*target_b*Hfact_0_1*Hfact_0_2	-3780	A3c_95_3
396	J_5_30	10168	4	-9	B2c_31_28*target_b*Hfact_0_1*Hfact_0_2	-4536	A3c_95_3
397	J_6_29	9222	4	-21/2	B2c_31_27*target_b*Hfact_0_1*Hfact_0_2	-3528	A3c_95_3
398	J_7_28	7535	4	-12	B2c_31_26*target_b*Hfact_0_1*Hfact_0_2	-1728	A3c_95_3
399	J_8_27	5188	4	-27/2	B2c_47_13*target_b*Hfact_0_1*Hfact_0_2	-486	A3c_95_3
400	J_9_26	2522	4	7/2	B2c_47_13*target_b*Hfact_0_1*Hfact_1_1	-386100	A3c_95_3
401	J_10_25	323	4	-15/2	B2c_60_3*target_b*Hfact_1_1^2	51480	A3c_95_2
402	J_0_36	3217	4	-5/2	B2c_32_32*target_b*Hfact_0_2*Hfact_0_3	-8	A3c_94_4
403	J_1_35	5700	4	-2	B2c_31_32*target_b*Hfact_0_2^2	-144	A3c_94_4
404	J_2_34	8167	4	-3	B2c_31_31*target_b*Hfact_0_2^2	-864	A3c_94_4
405	J_3_33	9932	4	-4	B2c_31_30*target_b*Hfact_0_2^2	-2688	A3c_94_4
406	J_4_32	10960	4	-5	B2c_31_29*target_b*Hfact_0_2^2	-5040	A3c_94_4
407	J_5_31	10948	4	-6	B2c_31_28*target_b*Hfact_0_2^2	-6048	A3c_94_4
408	J_6_30	10169	4	-7	B2c_31_27*target_b*Hfact_0_2^2	-4704	A3c_94_4
409	J_7_29	8442	4	-8	B2c_31_26*target_b*Hfact_0_2^2	-2304	A3c_94_4
410	J_8_28	6130	4	-9	B2c_47_13*target_b*Hfact_0_2^2	-648	A3c_94_4
411	J_9_27	3274	4	-1	B2c_47_13*target_b*Hfact_0_2*Hfact_1_1	-514800	A3c_94_4
412	J_10_26	724	4	8	B2c_47_13*target_b*Hfact_1_1^2	-77220	A3c_94_3
413	J_0_37	3308	4	-3/2	B2c_32_32*target_b*Hfact_0_3^2	-10	A3c_93_5
414	J_1_36	5968	4	-5	B2c_31_32*target_b*Hfact_0_2*Hfact_0_3	32	A3c_97_1
415	J_2_35	8404	4	-15/2	B2c_31_31*target_b*Hfact_0_2*Hfact_0_3	432	A3c_97_1
416	J_3_34	10589	4	-10	B2c_31_30*target_b*Hfact_0_2*Hfact_0_3	2304	A3c_97_1
417	J_4_33	11709	4	-25/2	B2c_31_29*target_b*Hfact_0_2*Hfact_0_3	6720	A3c_97_1
418	J_5_32	11743	4	-15	B2c_31_28*target_b*Hfact_0_2*Hfact_0_3	12096	A3c_97_1
419	J_6_31	11154	4	-35/2	B2c_31_27*target_b*Hfact_0_2*Hfact_0_3	14112	A3c_97_1
420	J_7_30	9550	4	-20	B2c_31_26*target_b*Hfact_0_2*Hfact_0_3	10752	A3c_97_1
421	J_8_29	6992	4	-45/2	B2c_47_13*target_b*Hfact_0_2*Hfact_0_3	5184	A3c_97_1
422	J_9_28	4211	4	-11/2	B2c_47_13*target_b*Hfact_0_3*Hfact_1_1	1440	A3c_97_1
423	J_10_27	1321	4	23/2	B2c_47_13*target_b*Hfact_1_1*Hfact_1_2	125840	A3c_97_1
424	J_11_26	8	2	-523260	B2c_60_3^2	23721120	A3c_97_0
425	J_0_38	3386	4	-7/2	B2c_32_32*target_b*Hfact_0_3*Hfact_0_4	-12	A3c_92_6
426	J_1_37	6091	4	-3	B2c_31_32*target_b*Hfact_0_3^2	64	A3c_96_2
427	J_2_36	8912	4	-9/2	B2c_31_31*target_b*Hfact_0_3^2	864	A3c_96_2
428	J_3_35	10886	4	-6	B2c_31_30*target_b*Hfact_0_3^2	4608	A3c_96_2
429	J_4_34	12089	4	-15/2	B2c_31_29*target_b*Hfact_0_3^2	13440	A3c_96_2
430	J_5_33	12719	4	-9	B2c_31_28*target_b*Hfact_0_3^2	24192	A3c_96_2
431	J_6_32	12154	4	-21/2	B2c_31_27*target_b*Hfact_0_3^2	28224	A3c_96_2
432	J_7_31	10024	4	-12	B2c_31_26*target_b*Hfact_0_3^2	21504	A3c_96_2
433	J_8_30	8185	4	-27/2	B2c_47_13*target_b*Hfact_0_3^2	10368	A3c_96_2
434	J_9_29	4595	4	-10	B2c_47_13*target_b*Hfact_0_4*Hfact_1_1	2880	A3c_96_2
435	J_10_28	2099	4	7/2	B2c_47_13*target_b*Hfact_1_2^2	251680	A3c_96_2
436	J_11_27	81	3	-41184	B2c_60_3^2*Hfact_1_1	-931328	A3c_96_1
437	J_0_39	3459	4	-2	B2c_32_32*target_b*Hfact_0_4^2	-14	A3c_91_7
438	J_1_38	6326	4	-7	B2c_31_32*target_b*Hfact_0_3*Hfact_0_4	96	A3c_95_3
439	J_2_37	9249	4	-21/2	B2c_31_31*target_b*Hfact_0_3*Hfact_0_4	1296	A3c_95_3
440	J_3_36	11689	4	-14	B2c_31_30*target_b*Hfact_0_3*Hfact_0_4	6912	A3c_95_3
441	J_4_35	13180	4	-35/2	B2c_31_29*target_b*Hfact_0_3*Hfact_0_4	20160	A3c_95_3
442	J_5_34	13700	4	-21	B2c_31_28*target_b*Hfact_0_3*Hfact_0_4	36288	A3c_95_3
443	J_6_33	13170	4	-49/2	B2c_31_27*target_b*Hfact_0_3*Hfact_0_4	42336	A3c_95_3
444	J_7_32	11703	4	-28	B2c_31_26*target_b*Hfact_0_3*Hfact_0_4	32256	A3c_95_3
445	J_8_31	9276	4	-63/2	B2c_47_13*target_b*Hfact_0_3*Hfact_0_4	15552	A3c_95_3
446	J_9_30	6164	4	-29/2	B2c_47_13*target_b*Hfact_0_5*Hfact_1_1	4320	A3c_95_3
447	J_10_29	2934	4	5/2	B2c_47_13*target_b*Hfact_1_2*Hfact_1_3	377520	A3c_95_3
448	J_11_28	354	4	-27/2	B2c_60_3*target_b*Hfact_1_1*Hfact_2_4	-57200	A3c_95_2
449	J_0_40	3519	4	-9/2	B2c_32_32*target_b*Hfact_0_4*Hfact_0_5	-16	A3c_90_8
450	J_1_39	6410	4	-4	B2c_31_32*target_b*Hfact_0_4^2	128	A3c_94_4
451	J_2_38	9391	4	-6	B2c_31_31*target_b*Hfact_0_4^2	1728	A3c_94_4
452	J_3_37	12122	4	-8	B2c_31_30*target_b*Hfact_0_4^2	9216	A3c_94_4
453	J_4_36	13894	4	-10	B2c_31_29*target_b*Hfact_0_4^2	26880	A3c_94_4
454	J_5_35	14112	4	-12	B2c_31_28*target_b*Hfact_0_4^2	48384	A3c_94_4
455	J_6_34	13632	4	-14	B2c_31_27*target_b*Hfact_0_4^2	56448	A3c_94_4
456	J_7_33	12726	4	-16	B2c_31_26*target_b*Hfact_0_4^2	43008	A3c_94_4
457	J_8_32	10240	4	-18	B2c_47_13*target_b*Hfact_0_4^2	20736	A3c_94_4
458	J_9_31	7152	4	-19	B2c_47_13*target_b*Hfact_0_6*Hfact_1_1	5760	A3c_94_4
459	J_10_30	3836	4	-1	B2c_47_13*target_b*Hfact_1_3^2	503360	A3c_94_4
460	J_11_29	738	4	15	B2c_47_13*target_b*Hfact_1_1*Hfact_2_4	68640	A3c_94_3
461	J_0_41	3574	4	-5/2	B2c_32_32*target_b*Hfact_0_5^2	-18	A3c_89_9
462	J_1_40	6612	4	-9	B2c_31_32*target_b*Hfact_0_4*Hfact_0_5	160	A3c_93_5
463	J_2_39	9831	4	-27/2	B2c_31_31*target_b*Hfact_0_4*Hfact_0_5	-168	A3c_97_1
464	J_3_38	12697	4	-18	B2c_31_30*target_b*Hfact_0_4*Hfact_0_5	-2016	A3c_97_1
465	J_4_37	14605	4	-45/2	B2c_31_29*target_b*Hfact_0_4*Hfact_0_5	-10080	A3c_97_1
466	J_5_36	15481	4	-27	B2c_31_28*target_b*Hfact_0_4*Hfact_0_5	-28224	A3c_97_1
467	J_6_35	15231	4	-63/2	B2c_31_27*target_b*Hfact_0_4*Hfact_0_5	-49392	A3c_97_1
468	J_7_34	13955	4	-36	B2c_31_26*target_b*Hfact_0_4*Hfact_0_5	-56448	A3c_97_1
469	J_8_33	11578	4	-81/2	B2c_47_13*target_b*Hfact_0_4*Hfact_0_5	-42336	A3c_97_1
470	J_9_32	8342	4	-47/2	B2c_47_13*target_b*Hfact_0_7*Hfact_1_1	-20160	A3c_97_1
471	J_10_31	4810	4	-13/2	B2c_47_13*target_b*Hfact_1_3*Hfact_1_4	-5544	A3c_97_1
472	J_11_30	1503	4	21/2	B2c_47_13*target_b*Hfact_1_2*Hfact_2_4	-96096	A3c_97_1
473	J_12_29	8	2	915705	B2c_60_3^2	-44496480	A3c_97_0
474	J_0_42	3616	4	-11/2	B2c_32_32*target_b*Hfact_0_5*Hfact_0_6	-20	A3c_88_10
475	J_1_41	6657	4	-5	B2c_31_32*target_b*Hfact_0_5^2	192	A3c_92_6
476	J_2_40	10072	4	-15/2	B2c_31_31*target_b*Hfact_0_5^2	-336	A3c_96_2
477	J_3_39	12856	4	-10	B2c_31_30*target_b*Hfact_0_5^2	-4032	A3c_96_2
478	J_4_38	15277	4	-25/2	B2c_31_29*target_b*Hfact_0_5^2	-20160	A3c_96_2
479	J_5_37	16258	4	-15	B2c_31_28*target_b*Hfact_0_5^2	-56448	A3c_96_2
480	J_6_36	16265	4	-35/2	B2c_31_27*target_b*Hfact_0_5^2	-98784	A3c_96_2
481	J_7_35	14802	4	-20	B2c_31_26*target_b*Hfact_0_5^2	-112896	A3c_96_2
482	J_8_34	12778	4	-45/2	B2c_47_13*target_b*Hfact_0_5^2	-84672	A3c_96_2
483	J_9_33	9422	4	-28	B2c_47_13*target_b*Hfact_0_8*Hfact_1_1	-40320	A3c_96_2
484	J_10_32	5219	4	-11/2	B2c_47_13*target_b*Hfact_1_4^2	-11088	A3c_96_2
485	J_11_31	2163	4	6	B2c_47_13*target_b*Hfact_1_3*Hfact_2_4	-192192	A3c_96_2
486	J_12_30	85	3	81081/2	B2c_60_3^2*Hfact_1_1	2810304	A3c_96_1
487	J_0_43	3653	4	-3	B2c_32_32*target_b*Hfact_0_6^2	-22	A3c_87_11
488	J_1_42	6826	4	-11	B2c_31_32*target_b*Hfact_0_5*Hfact_0_6	224	A3c_91_7
489	J_2_41	10117	4	-33/2	B2c_31_31*target_b*Hfact_0_5*Hfact_0_6	-504	A3c_95_3
490	J_3_40	13545	4	-22	B2c_31_30*target_b*Hfact_0_5*Hfact_0_6	-6048	A3c_95_3
491	J_4_39	15539	4	-55/2	B2c_31_29*target_b*Hfact_0_5*Hfact_0_6	-30240	A3c_95_3
492	J_5_38	16997	4	-33	B2c_31_28*target_b*Hfact_0_5*Hfact_0_6	-84672	A3c_95_3
493	J_6_37	17288	4	-77/2	B2c_31_27*target_b*Hfact_0_5*Hfact_0_6	-148176	A3c_95_3
494	J_7_36	16257	4	-44	B2c_31_26*target_b*Hfact_0_5*Hfact_0_6	-169344	A3c_95_3
495	J_8_35	13264	4	-99/2	B2c_47_13*target_b*Hfact_0_5*Hfact_0_6	-127008	A3c_95_3
496	J_9_34	10376	4	-65/2	B2c_47_13*target_b*Hfact_0_9*Hfact_1_1	-60480	A3c_95_3
497	J_10_33	6935	4	-31/2	B2c_47_13*target_b*Hfact_1_4*Hfact_1_5	-16632	A3c_95_3
498	J_11_32	3067	4	3/2	B2c_47_13*target_b*Hfact_1_4*Hfact_2_4	-288288	A3c_95_3
499	J_12_31	378	4	-6	B2c_60_3*target_b*Hfact_2_4^2	48048	A3c_95_2
500	J_0_44	3677	4	-13/2	B2c_32_32*target_b*Hfact_0_6*Hfact_0_7	-24	A3c_86_12
501	J_1_43	6832	4	-6	B2c_31_32*target_b*Hfact_0_6^2	256	A3c_90_8
502	J_2_42	10472	4	-9	B2c_31_31*target_b*Hfact_0_6^2	-672	A3c_94_4
503	J_3_41	13810	4	-12	B2c_31_30*target_b*Hfact_0_6^2	-8064	A3c_94_4
504	J_4_40	16520	4	-15	B2c_31_29*target_b*Hfact_0_6^2	-40320	A3c_94_4
505	J_5_39	17931	4	-18	B2c_31_28*target_b*Hfact_0_6^2	-112896	A3c_94_4
506	J_6_38	18299	4	-21	B2c_31_27*target_b*Hfact_0_6^2	-197568	A3c_94_4
507	J_7_37	17307	4	-24	B2c_31_26*target_b*Hfact_0_6^2	-225792	A3c_94_4
508	J_8_36	15224	4	-27	B2c_47_13*target_b*Hfact_0_6^2	-169344	A3c_94_4
509	J_9_35	11834	4	-37	B2c_47_13*target_b*Hfact_0_10*Hfact_1_1	-80640	A3c_94_4
510	J_10_34	8078	4	-10	B2c_47_13*target_b*Hfact_1_5^2	-22176	A3c_94_4
511	J_11_33	4172	4	-3	B2c_47_13*target_b*Hfact_1_5*Hfact_2_4	-384384	A3c_94_4
512	J_12_32	910	4	7	B2c_47_13*target_b*Hfact_2_4^2	-48048	A3c_94_3
513	J_0_45	3696	4	-7/2	B2c_32_32*target_b*Hfact_0_7^2	-26	A3c_85_13
514	J_1_44	6968	4	-13	B2c_31_32*target_b*Hfact_0_6*Hfact_0_7	288	A3c_89_9
515	J_2_43	10631	4	-39/2	B2c_31_31*target_b*Hfact_0_6*Hfact_0_7	-840	A3c_93_5
516	J_3_42	14218	4	-26	B2c_31_30*target_b*Hfact_0_6*Hfact_0_7	448	A3c_97_1
517	J_4_41	17070	4	-65/2	B2c_31_29*target_b*Hfact_0_6*Hfact_0_7	5040	A3c_97_1
518	J_5_40	18829	4	-39	B2c_31_28*target_b*Hfact_0_6*Hfact_0_7	24192	A3c_97_1
519	J_6_39	19288	4	-91/2	B2c_31_27*target_b*Hfact_0_6*Hfact_0_7	65856	A3c_97_1
520	J_7_38	18556	4	-52	B2c_31_26*target_b*Hfact_0_6*Hfact_0_7	112896	A3c_97_1
521	J_8_37	16459	4	-117/2	B2c_47_13*target_b*Hfact_0_6*Hfact_0_7	127008	A3c_97_1
522	J_9_36	13173	4	-83/2	B2c_47_13*target_b*Hfact_0_11*Hfact_1_1	94080	A3c_97_1
523	J_10_35	9255	4	-49/2	B2c_47_13*target_b*Hfact_1_5*Hfact_1_6	44352	A3c_97_1
524	J_11_34	5266	4	-15/2	B2c_47_13*target_b*Hfact_1_6*Hfact_2_4	12096	A3c_97_1
525	J_12_33	1639	4	19/2	B2c_47_13*target_b*Hfact_2_4*Hfact_2_5	56784	A3c_97_1
526	J_13_32	8	2	-1322685	B2c_60_3^2	67721472	A3c_97_0
527	J_0_46	3702	4	-15/2	B2c_32_32*target_b*Hfact_0_7*Hfact_0_8	-28	A3c_84_14
528	J_1_45	6935	4	-7	B2c_31_32*target_b*Hfact_0_7^2	320	A3c_88_10
529	J_2_44	10586	4	-21/2	B2c_31_31*target_b*Hfact_0_7^2	-1008	A3c_92_6
530	J_3_43	14221	4	-14	B2c_31_30*target_b*Hfact_0_7^2	896	A3c_96_2
531	J_4_42	17561	4	-35/2	B2c_31_29*target_b*Hfact_0_7^2	10080	A3c_96_2
532	J_5_41	19073	4	-21	B2c_31_28*target_b*Hfact_0_7^2	48384	A3c_96_2
533	J_6_40	20256	4	-49/2	B2c_31_27*target_b*Hfact_0_7^2	131712	A3c_96_2
534	J_7_39	18987	4	-28	B2c_31_26*target_b*Hfact_0_7^2	225792	A3c_96_2
535	J_8_38	17509	4	-63/2	B2c_47_13*target_b*Hfact_0_7^2	254016	A3c_96_2
536	J_9_37	14349	4	-46	B2c_47_13*target_b*Hfact_0_12*Hfact_1_1	188160	A3c_96_2
537	J_10_36	10481	4	-29/2	B2c_47_13*target_b*Hfact_1_6^2	88704	A3c_96_2
538	J_11_35	5679	4	-12	B2c_47_13*target_b*Hfact_1_7*Hfact_2_4	24192	A3c_96_2
