CONDITIONAL on EXACT-N	D	m	M_tuple	V_s	u	e	branch_type_count	distinct_weight_count	distinct_weights
CONDITIONAL on EXACT-N	120	72	-36,-32,118	3	18	5	90	90	275/226,4818/3955,18315/15029,16390/13447,30855/25312,6750/5537,2893/2373,14190/11639,495/406,280/113,7008/2825,5328/2147,4768/1921,561/226,21600/8701,4208/1695,28896/11639,72/29,48618/12995,184815/49381,165390/44183,311355/83168,749250/200123,9731/2599,1002330/267697,4995/1334,17520/3503,333000/66557,298000/59551,70125/14012,1350000/269731,52600/10509,1806000/360809,4500/899,174825/27911,156450/24973,294525/47008,101250/16159,9205/1469,948150/151307,4725/754,39960/5311,679440/90287,159885/21244,3078000/408947,39976/5311,4117680/547033,10260/1363,185654/21131,31773/3616,120150/13673,163849/18645,1125138/128029,5607/638,23840/2373,15895/1582,612000/60907,71536/7119,116960/11639,2040/203,2903175/256736,6986250/617771,90735/8023,9346050/826369,46575/4118,112200/8927,8640000/687379,336640/26781,11558400/919481,28800/2291,317250/22939,135971/9831,4668510/337531,23265/1682,32400/2147,162008/10735,3337488/221141,8316/551,570973/34917,19604130/1198817,97695/5974,73640/4181,7585200/430643,18900/1073,3734550/197863,130275/6902,288960/14351,74160/3683,1241/58,3240/143
CONDITIONAL on EXACT-N	120	72	-36,-28,118	3	18	5	90	90	17/14,213/175,162/133,145/119,39/32,657/539,128/105,879/721,495/406,136/55,3408/1375,2592/1045,464/187,273/110,10512/4235,2048/825,14064/5665,72/29,23643/6325,17982/4807,16095/4301,30303/8096,72927/19481,4736/1265,97569/26059,4995/1334,1704/341,32400/6479,29000/5797,6825/1364,131400/26257,5120/1023,175800/35123,4500/899,17010/2717,15225/2431,2205/352,9855/1573,896/143,92295/14729,4725/754,3888/517,66120/8789,15561/2068,299592/39809,19456/2585,400824/53251,10260/1363,18067/2057,170079/19360,58473/6655,79744/9075,547617/62315,5607/638,2320/231,221/22,59568/5929,34816/3465,79696/7931,2040/203,282555/24992,679995/60137,8832/781,909765/80443,46575/4118,10920/869,840960/66913,32768/2607,1125120/89507,28800/2291,30879/2233,6016/435,41313/2987,23265/1682,15768/1045,7168/475,147672/9785,8316/551,277888/16995,1908309/116699,97695/5974,7168/407,738360/41921,18900/1073,2544705/134827,130275/6902,28128/1397,74160/3683,1241/58,3240/143
CONDITIONAL on EXACT-N	120	72	-36,-20,118	3	18	5	90	90	110/91,2211/1820,8415/6916,7535/6188,7095/5824,3105/2548,1331/1092,45705/37492,495/406,32/13,804/325,612/247,548/221,129/52,2484/1001,484/195,3324/1339,72/29,22311/5980,84915/22724,76035/20332,71595/19136,14985/4004,4477/1196,461205/123188,4995/1334,2010/403,38250/7657,34250/6851,16125/3224,155250/31031,6050/1209,207750/41509,4500/899,80325/12844,71925/11492,67725/10816,46575/7436,4235/676,436275/69628,4725/754,4590/611,78090/10387,36765/4888,353970/47047,4598/611,473670/62933,10260/1363,85351/9724,80367/9152,55269/6292,6853/780,517713/58916,5607/638,2740/273,3655/364,70380/7007,8228/819,94180/9373,2040/203,667575/59072,3213675/284284,41745/3692,4300425/380276,46575/4118,12900/1027,993600/79079,38720/3081,1329600/105781,28800/2291,145935/10556,62557/4524,2148135/155324,23265/1682,3726/247,18634/1235,383922/25441,8316/551,20207/1236,693885/42436,97695/5974,8470/481,872550/49543,18900/1073,12028725/637364,130275/6902,33240/1651,74160/3683,1241/58,3240/143
CONDITIONAL on EXACT-N	120	72	-36,-16,118	3	18	5	90	90	1705/1414,858/707,16335/13433,2090/1717,27555/22624,6030/4949,2585/2121,88770/72821,495/406,248/101,1248/505,4752/1919,4256/1717,501/202,19296/7777,752/303,25824/10403,72/29,8658/2323,164835/44137,147630/39491,278055/74336,669330/178871,8695/2323,895770/239269,4995/1334,15600/3131,297000/59489,266000/53227,62625/12524,1206000/241087,47000/9393,1614000/322493,4500/899,155925/24947,139650/22321,263025/42016,90450/14443,8225/1313,847350/135239,4725/754,35640/4747,606480/80699,142785/18988,2749680/365519,760/101,3679920/488941,10260/1363,165718/18887,312123/35552,107334/12221,29281/3333,1005522/114433,5607/638,3040/303,14195/1414,546720/54439,63920/6363,731680/72821,2040/203,2592675/229472,6241050/552167,81075/7171,8352450/738613,46575/4118,100200/7979,7718400/614383,300800/23937,10329600/821837,28800/2291,283410/20503,121495/8787,4172190/301687,23265/1682,28944/1919,28952/1919,2982672/197657,8316/551,510185/31209,17519970/1071509,97695/5974,65800/3737,6778800/384911,18900/1073,23362650/1237957,130275/6902,258240/12827,74160/3683,1241/58,3240/143
CONDITIONAL on EXACT-N	120	72	-36,-8,118	3	18	5	90	90	319/266,4026/3325,3069/2527,2750/2261,5181/4256,162/133,2431/1995,16698/13699,495/406,232/95,5856/2375,4464/1805,800/323,471/190,2592/1045,3536/1425,24288/9785,72/29,40626/10925,30969/8303,27750/7429,52281/13984,17982/4807,8177/2185,7326/1957,4995/1334,2928/589,1800/361,50000/10013,11775/2356,32400/6479,8840/1767,303600/60667,4500/899,29295/4693,26250/4199,49455/7904,17010/2717,119/19,159390/25441,4725/754,6696/893,6000/799,1413/188,3888/517,1768/235,36432/4841,10260/1363,31150/3553,293433/33440,100926/11495,137683/15675,85974/9785,5607/638,4000/399,2669/266,14688/1463,60112/5985,137632/13699,2040/203,487485/43168,167670/14839,15249/1349,1571130/138947,46575/4118,18840/1501,207360/16511,56576/4503,1943040/154603,28800/2291,7614/551,114257/8265,784806/56753,23265/1682,27216/1805,136136/9025,2805264/185915,8316/551,479791/29355,3295578/201571,97695/5974,12376/703,1275120/72409,18900/1073,4394610/232883,130275/6902,48576/2413,74160/3683,1241/58,3240/143
CONDITIONAL on EXACT-N	120	72	-36,-4,118	3	18	5	90	90	55/46,1947/1610,7425/6118,6655/5474,3135/2576,2745/2254,1177/966,5775/4738,495/406,56/23,1416/575,1080/437,968/391,57/23,4392/1771,856/345,5880/2369,72/29,19647/5290,74925/20102,67155/17986,31635/8464,304695/81466,3959/1058,407925/108974,4995/1334,3540/713,67500/13547,60500/12121,7125/1426,274500/54901,10700/2139,367500/73439,4500/899,70875/11362,63525/10166,29925/4784,41175/6578,3745/598,385875/61594,4725/754,8100/1081,137940/18377,16245/2162,625860/83237,8132/1081,837900/111343,10260/1363,6853/782,35511/4048,48861/5566,66661/7590,457905/52118,5607/638,4840/483,1615/161,124440/12397,14552/1449,23800/2369,2040/203,12825/1136,123525/10934,1605/142,165375/14626,46575/4118,22800/1817,1756800/139909,68480/5451,2352000/187151,28800/2291,129015/9338,55319/4002,1899975/137402,23265/1682,6588/437,32956/2185,679140/45011,8316/551,232297/14214,7978425/488014,97695/5974,14980/851,1543500/87653,18900/1073,1519875/80546,130275/6902,58800/2921,74160/3683,1241/58,3240/143
CONDITIONAL on EXACT-N	120	72	-36,4,118	3	18	5	90	90	715/602,363/301,990/817,6215/5117,11715/9632,2565/2107,1100/903,37785/31003,495/406,104/43,528/215,2016/817,1808/731,213/86,8208/3311,320/129,10992/4429,72/29,3663/989,69930/18791,62715/16813,118215/31648,284715/76153,3700/989,381285/101867,4995/1334,6600/1333,126000/25327,113000/22661,26625/5332,513000/102641,20000/3999,687000/137299,4500/899,66150/10621,59325/9503,111825/17888,38475/6149,3500/559,360675/57577,4725/754,15120/2021,257640/34357,60705/8084,1169640/155617,15200/2021,1566360/208163,10260/1363,70399/8041,132699/15136,45657/5203,12460/1419,428001/48719,5607/638,9040/903,6035/602,232560/23177,27200/2709,311440/31003,2040/203,15525/1376,2654775/235081,34500/3053,3555225/314459,46575/4118,42600/3397,3283200/261569,128000/10191,4396800/349891,28800/2291,120555/8729,51700/3741,1775895/128441,23265/1682,648/43,12320/817,1269576/84151,8316/551,217100/13287,7457385/456187,97695/5974,28000/1591,2885400/163873,18900/1073,9944325/527051,130275/6902,109920/5461,74160/3683,1241/58,3240/143
CONDITIONAL on EXACT-N	120	72	-36,8,118	3	18	5	90	90	1375/1162,3498/2905,13365/11039,11990/9877,22605/18592,4950/4067,2123/1743,72930/59843,495/406,200/83,5088/2075,3888/1577,3488/1411,411/166,1440/581,3088/1245,21216/8549,72/29,35298/9545,134865/36271,120990/32453,228105/61088,49950/13363,7141/1909,735930/196627,4995/1334,12720/2573,243000/48887,218000/43741,51375/10292,90000/18011,38600/7719,1326000/265019,4500/899,127575/20501,114450/18343,215775/34528,6750/1079,6755/1079,53550/8549,4725/754,29160/3901,497040/66317,117135/15604,205200/27307,29336/3901,3023280/401803,10260/1363,135814/15521,256053/29216,8010/913,120239/13695,826098/94039,5607/638,17440/1743,11645/1162,40800/4067,52496/5229,601120/59843,2040/203,2126925/188576,465750/41251,66585/5893,6862050/606979,46575/4118,82200/6557,576000/45899,247040/19671,8486400/675371,28800/2291,232650/16849,99781/7221,3427710/247921,23265/1682,23760/1577,118888/7885,2450448/162431,8316/551,419003/25647,14393730/880547,97695/5974,54040/3071,5569200/316313,18900/1073,1129050/59843,130275/6902,212160/10541,74160/3683,1241/58,3240/143
CONDITIONAL on EXACT-N	120	72	-36,16,118	3	18	5	90	90	115/98,6/5,1125/931,1010/833,1905/1568,4590/3773,179/147,6150/5047,495/406,184/77,672/275,3600/1463,3232/1309,381/154,14688/5929,2864/1155,19680/7931,72/29,4662/1265,124875/33649,112110/30107,211455/56672,509490/136367,6623/1771,682650/182413,4995/1334,1680/341,225000/45353,202000/40579,47625/9548,918000/183799,35800/7161,1230000/245861,4500/899,16875/2717,15150/2431,28575/4576,68850/11011,895/143,92250/14729,4725/754,27000/3619,460560/61523,108585/14476,2093040/278663,27208/3619,2804400/372757,10260/1363,17978/2057,33909/3872,81702/9317,15931/1815,109470/12463,5607/638,16160/1617,10795/1078,416160/41503,48688/4851,557600/55517,2040/203,1971675/174944,4750650/420959,61755/5467,6365250/563101,46575/4118,76200/6083,5875200/468391,229120/18249,7872000/626549,28800/2291,215730/15631,8413/609,289050/20909,23265/1682,22032/1463,1432/95,29520/1957,8316/551,388609/23793,13351650/816893,97695/5974,7160/407,738000/41921,18900/1073,17804250/943789,130275/6902,196800/9779,74160/3683,1241/58,3240/143
CONDITIONAL on EXACT-N	120	72	-36,20,118	3	18	5	90	90	605/518,1551/1295,5940/4921,5335/4403,10065/8288,45/37,946/777,32505/26677,495/406,88/37,2256/925,1728/703,1552/629,183/74,1008/407,1376/555,9456/3811,72/29,423/115,1620/437,1455/391,2745/736,945/253,86/23,8865/2369,4995/1334,5640/1147,108000/21793,97000/19499,22875/4588,63000/12617,17200/3441,591000/118141,4500/899,56700/9139,50925/8177,96075/15392,33075/5291,3010/481,310275/49543,4725/754,12960/1739,221160/29563,52155/6956,143640/19129,13072/1739,1347480/179117,10260/1363,60431/6919,114009/13024,39249/4477,53578/6105,368193/41921,5607/638,7760/777,5185/518,4080/407,23392/2331,267920/26677,2040/203,947025/84064,326025/28897,29670/2627,3058425/270581,46575/4118,36600/2923,403200/32153,110080/8769,3782400/301069,28800/2291,14805/1073,44462/3219,1527735/110519,23265/1682,10584/703,52976/3515,1092168/72409,8316/551,186706/11433,6415305/392533,97695/5974,24080/1369,2482200/141007,18900/1073,8554725/453509,130275/6902,94560/4699,74160/3683,1241/58,3240/143
CONDITIONAL on EXACT-N	120	72	-36,28,118	3	18	5	90	90	275/238,1419/1190,5445/4522,4895/4046,165/136,2025/1666,869/714,29865/24514,495/406,40/17,1032/425,792/323,712/289,42/17,3240/1309,632/255,4344/1751,72/29,14319/3910,54945/14858,49395/13294,11655/3128,224775/60214,2923/782,301365/80546,4995/1334,2580/527,49500/10013,44500/8959,2625/527,202500/40579,7900/1581,271500/54281,4500/899,51975/8398,46725/7514,11025/1768,30375/4862,2765/442,285075/45526,4725/754,5940/799,101460/13583,5985/799,461700/61523,6004/799,619020/82297,10260/1363,55447/6358,13083/1496,36045/4114,49217/5610,338289/38522,5607/638,3560/357,10,5400/539,632/63,7240/721,2040/203,108675/9656,2095875/185878,27255/2414,2810025/248642,46575/4118,16800/1343,1296000/103411,640/51,1737600/138329,28800/2291,95175/6902,40843/2958,1403655/101558,23265/1682,4860/323,24332/1615,501732/33269,8316/551,171509/10506,5894265/360706,97695/5974,11060/629,1140300/64787,18900/1073,7859925/416738,130275/6902,43440/2159,74160/3683,1241/58,3240/143
CONDITIONAL on EXACT-N	120	72	-36,32,118	3	18	5	90	90	209/182,2706/2275,297/247,110/91,3531/2912,774/637,1661/1365,11418/9373,495/406,152/65,3936/1625,3024/1235,32/13,321/130,12384/5005,2416/975,16608/6695,72/29,27306/7475,20979/5681,1110/299,35631/9568,85914/23023,5587/1495,115218/30797,4995/1334,1968/403,37800/7657,2000/403,8025/1612,154800/31031,6040/1209,207600/41509,4500/899,19845/3211,1050/169,33705/5408,11610/1859,1057/169,108990/17407,4725/754,4536/611,4560/611,18297/2444,352944/47047,22952/3055,473328/62933,10260/1363,1246/143,199983/22880,68886/7865,94073/10725,646674/73645,5607/638,2720/273,1819/182,70176/7007,41072/4095,94112/9373,2040/203,332235/29536,801090/71071,10419/923,1074330/95069,46575/4118,12840/1027,990720/79079,38656/3081,1328640/105781,28800/2291,36378/2639,78067/5655,536646/38831,23265/1682,18576/1235,93016/6175,1918224/127205,8316/551,25217/1545,173346/10609,97695/5974,8456/481,871920/49543,18900/1073,3005010/159341,130275/6902,33216/1651,74160/3683,1241/58,3240/143
CONDITIONAL on EXACT-N	120	72	-36,40,118	3	18	5	90	90	935/826,2442/2065,495/413,1210/1003,16005/13216,3510/2891,1507/1239,51810/42539,495/406,136/59,3552/1475,144/59,2464/1003,291/118,11232/4543,2192/885,15072/6077,72/29,24642/6785,4995/1357,85470/23069,161505/43424,389610/104489,5069/1357,522810/139771,4995/1334,8880/1829,9000/1829,154000/31093,36375/7316,702000/140833,27400/5487,942000/188387,4500/899,4725/767,80850/13039,152775/24544,4050/649,4795/767,494550/79001,4725/754,20520/2773,351120/47141,82935/11092,1600560/213521,20824/2773,2147760/285619,10260/1363,8722/1003,181293/20768,62478/7139,85351/9735,586866/66847,5607/638,1760/177,8245/826,318240/31801,37264/3717,427040/42539,2040/203,1505925/134048,3632850/322553,47265/4189,4874850/431467,46575/4118,58200/4661,4492800/358897,175360/13983,6028800/480083,28800/2291,164970/11977,70829/5133,2435070/176233,23265/1682,16848/1121,84392/5605,1740816/115463,8316/551,297427/18231,10225410/625931,97695/5974,38360/2183,3956400/224849,18900/1073,13635450/723163,130275/6902,150720/7493,74160/3683,1241/58,3240/143
CONDITIONAL on EXACT-N	120	72	-36,44,118	3	18	5	90	90	55/49,33/28,4455/3724,4015/3332,3795/3136,1665/1372,715/588,24585/20188,495/406,16/7,12/5,324/133,292/119,69/28,1332/539,52/21,1788/721,72/29,333/92,44955/12236,40515/10948,1665/448,184815/49588,2405/644,248085/66332,4995/1334,150/31,20250/4123,18250/3689,8625/1736,83250/16709,3250/651,111750/22351,4500/899,6075/988,5475/884,5175/832,24975/4004,25/4,33525/5356,4725/754,2430/329,41610/5593,19665/2632,189810/25333,2470/329,254790/33887,10260/1363,6497/748,6141/704,29637/3388,1157/132,39783/4532,5607/638,1460/147,1955/196,37740/3773,4420/441,50660/5047,2040/203,357075/31808,1723275/153076,22425/1988,2313225/204764,46575/4118,6900/553,532800/42581,20800/1659,715200/56959,28800/2291,78255/5684,33605/2436,1155495/83636,23265/1682,1998/133,286/19,29502/1957,8316/551,141115/8652,4852185/297052,97695/5974,650/37,67050/3811,18900/1073,6470325/343196,130275/6902,17880/889,74160/3683,1241/58,3240/143
CONDITIONAL on EXACT-N	120	72	-36,52,118	3	18	5	90	90	11/10,1023/875,792/665,143/119,1353/1120,297/245,638/525,627/515,495/406,56/25,1488/625,1152/475,208/85,123/50,432/175,928/375,6384/2575,72/29,10323/2875,7992/2185,1443/391,13653/3680,2997/805,2146/575,44289/11845,4995/1334,24/5,2880/589,2600/527,615/124,1080/217,464/93,15960/3193,4500/899,1512/247,105/17,2583/416,81/13,406/65,8379/1339,4725/754,1728/235,5928/799,7011/940,12312/1645,8816/1175,181944/24205,10260/1363,8099/935,76629/8800,2403/275,36134/4125,248577/28325,5607/638,208/21,697/70,2448/245,15776/1575,5168/515,2040/203,25461/2272,5589/497,4002/355,82593/7313,46575/4118,984/79,6912/553,14848/1185,102144/8137,28800/2291,13959/1015,1034/75,206283/14935,23265/1682,7128/475,35728/2375,38808/2575,8316/551,125918/7725,866229/53045,97695/5974,3248/185,67032/3811,18900/1073,33003/1751,130275/6902,12768/635,74160/3683,1241/58,3240/143
CONDITIONAL on EXACT-N	120	72	-36,56,118	3	18	5	90	90	715/658,1914/1645,7425/6251,6710/5593,1815/1504,2790/2303,1199/987,41250/33887,495/406,104/47,2784/1175,2160/893,1952/799,231/94,8928/3619,1744/705,12000/4841,72/29,19314/5405,74925/20539,67710/18377,128205/34592,309690/83237,4033/1081,416250/111343,4995/1334,6960/1457,135000/27683,122000/24769,28875/5828,18000/3619,21800/4371,750000/150071,4500/899,70875/11609,64050/10387,121275/19552,41850/6721,3815/611,393750/62933,4725/754,16200/2209,278160/37553,65835/8836,1272240/170093,16568/2209,1710000/227527,10260/1363,76006/8789,13083/1504,49662/5687,67907/7755,467250/53251,5607/638,9760/987,935/94,252960/25333,29648/2961,340000/33887,2040/203,1195425/106784,2887650/256949,37605/3337,3881250/343711,46575/4118,46200/3713,3571200/285901,139520/11139,4800000/382439,28800/2291,2790/203,1199/87,41250/2987,23265/1682,13392/893,67144/4465,1386000/91979,8316/551,236639/14523,8141250/498623,97695/5974,30520/1739,3150000/179117,18900/1073,10856250/576079,130275/6902,120000/5969,74160/3683,1241/58,3240/143
CONDITIONAL on EXACT-N	120	72	-36,64,118	3	18	5	90	90	605/574,330/287,6435/5453,5830/4879,11055/9184,2430/2009,1045/861,35970/29561,495/406,88/41,96/41,1872/779,1696/697,201/82,7776/3157,304/123,10464/4223,72/29,3330/943,64935/17917,58830/16031,111555/30176,269730/72611,3515/943,362970/97129,4995/1334,6000/1271,117000/24149,106000/21607,25125/5084,486000/97867,19000/3813,654000/130913,4500/899,4725/779,55650/9061,105525/17056,36450/5863,3325/533,343350/54899,4725/754,14040/1927,241680/32759,57285/7708,1108080/148379,14440/1927,1491120/198481,10260/1363,66038/7667,125223/14432,43254/4961,11837/1353,407442/46453,5607/638,8480/861,5695/574,220320/22099,25840/2583,296480/29561,2040/203,1040175/93152,2515050/224147,32775/2911,3384450/299833,46575/4118,40200/3239,3110400/249403,121600/9717,4185600/333617,28800/2291,114210/8323,49115/3567,1690590/122467,23265/1682,11664/779,616/41,1208592/80237,8316/551,206245/12669,7099170/434969,97695/5974,26600/1517,2746800/156251,18900/1073,9466650/502537,130275/6902,104640/5207,74160/3683,1241/58,3240/143
CONDITIONAL on EXACT-N	120	72	-36,68,118	3	18	5	90	90	275/266,759/665,2970/2527,385/323,5115/4256,1125/931,484/399,16665/13699,495/406,40/19,1104/475,864/361,784/323,93/38,3600/1463,704/285,4848/1957,72/29,333/95,29970/8303,27195/7429,51615/13984,124875/33649,1628/437,168165/45011,4995/1334,2760/589,54000/11191,49000/10013,375/76,225000/45353,8800/1767,303000/60667,4500/899,28350/4693,25725/4199,48825/7904,16875/2717,1540/247,159075/25441,4725/754,6480/893,5880/799,1395/188,27000/3619,352/47,36360/4841,10260/1363,30527/3553,57939/6688,20025/2299,2492/285,188769/21527,5607/638,560/57,2635/266,102000/10241,11968/1197,137360/13699,2040/203,481275/43168,1164375/103873,15180/1349,1568025/138947,46575/4118,18600/1501,1440000/115577,56320/4503,1939200/154603,28800/2291,52875/3857,22748/1653,783255/56753,23265/1682,5400/361,27104/1805,559944/37183,8316/551,95524/5871,3289065/201571,97695/5974,12320/703,1272600/72409,18900/1073,4385925/232883,130275/6902,48480/2413,74160/3683,1241/58,3240/143
CONDITIONAL on EXACT-N	120	72	-36,76,118	3	18	5	90	90	55/56,627/560,2475/2128,2255/1904,2145/1792,135/112,407/336,14025/11536,495/406,2,57/25,45/19,41/17,39/16,27/11,37/15,255/103,72/29,6327/1840,24975/6992,22755/6256,21645/5888,14985/4048,1369/368,141525/37904,4995/1334,285/62,5625/1178,5125/1054,4875/992,3375/682,925/186,31875/6386,4500/899,23625/3952,21525/3536,1575/256,14175/2288,1295/208,133875/21424,4725/754,675/94,11685/1598,11115/1504,7695/1034,703/94,72675/9682,10260/1363,25543/2992,24297/2816,16821/1936,23051/2640,158865/18128,5607/638,205/21,1105/112,765/77,629/63,7225/721,2040/203,201825/18176,139725/12496,12765/1136,1319625/117008,46575/4118,975/79,10800/869,2960/237,102000/8137,28800/2291,6345/464,19129/1392,659175/47792,23265/1682,567/38,2849/190,58905/3914,8316/551,80327/4944,2768025/169744,97695/5974,35/2,133875/7622,18900/1073,217125/11536,130275/6902,2550/127,74160/3683,1241/58,3240/143
CONDITIONAL on EXACT-N	120	72	-36,80,118	3	18	5	90	90	55/58,1122/1015,4455/3857,4070/3451,7755/6496,1710/1421,737/609,3630/2987,495/406,56/29,1632/725,1296/551,1184/493,141/58,5472/2233,1072/435,7392/2987,72/29,11322/3335,44955/12673,41070/11339,78255/21344,189810/51359,2479/667,256410/68701,4995/1334,4080/899,81000/17081,74000/15283,17625/3596,342000/69223,13400/2697,462000/92597,4500/899,42525/7163,38850/6409,74025/12064,25650/4147,2345/377,242550/38831,4725/754,9720/1363,168720/23171,855/116,779760/104951,10184/1363,1053360/140389,10260/1363,46102/5423,87843/10208,30438/3509,41741/4785,26166/2987,5607/638,5920/609,3995/406,155040/15631,18224/1827,29920/2987,2040/203,729675/65888,1769850/158543,23115/2059,2390850/212077,46575/4118,28200/2291,2188800/176407,85760/6873,2956800/235973,28800/2291,80370/5887,34639/2523,1194270/86623,23265/1682,432/29,41272/2755,853776/56753,8316/551,145457/8961,5015010/307661,97695/5974,18760/1073,1940400/110519,18900/1073,955350/50779,130275/6902,73920/3683,74160/3683,1241/58,3240/143
CONDITIONAL on EXACT-N	120	72	-36,88,118	3	18	5	90	90	275/322,858/805,495/437,3190/2737,6105/5152,1350/1127,583/483,20130/16583,495/406,40/23,1248/575,1008/437,928/391,111/46,4320/1771,848/345,5856/2369,72/29,8658/2645,34965/10051,32190/8993,61605/16928,149850/40733,1961/529,203130/54487,4995/1334,3120/713,63000/13547,58000/12121,13875/2852,270000/54901,10600/2139,366000/73439,4500/899,33075/5681,30450/5083,58275/9568,20250/3289,1855/299,192150/30797,4725/754,7560/1081,132240/18377,31635/4324,615600/83237,8056/1081,834480/111343,10260/1363,36134/4301,69153/8096,24030/2783,33019/3795,228018/26059,5607/638,4640/483,3145/322,122400/12397,14416/1449,165920/16583,2040/203,24975/2272,60750/5467,795/71,82350/7313,46575/4118,22200/1817,1728000/139909,67840/5451,2342400/187151,28800/2291,63450/4669,27401/2001,946110/68701,23265/1682,6480/437,32648/2185,676368/45011,8316/551,115063/7107,3972930/244007,97695/5974,14840/851,1537200/87653,18900/1073,5297850/281911,130275/6902,58560/2921,74160/3683,1241/58,3240/143
CONDITIONAL on EXACT-N	120	72	-36,92,118	3	18	5	90	90	11/14,363/350,297/266,275/238,33/28,117/98,253/210,1749/1442,495/406,8/5,264/125,216/95,40/17,12/5,936/385,184/75,1272/515,72/29,3663/1150,2997/874,2775/782,333/92,12987/3542,37/10,17649/4738,4995/1334,132/31,2700/589,2500/527,150/31,11700/2387,460/93,15900/3193,4500/899,2835/494,2625/442,315/52,135/22,161/26,16695/2678,4725/754,324/47,5700/799,342/47,26676/3619,1748/235,36252/4841,10260/1363,3115/374,1869/220,10413/1210,14329/1650,99057/11330,5607/638,200/21,68/7,5304/539,3128/315,7208/721,2040/203,3105/284,121095/10934,1587/142,164565/14626,46575/4118,960/79,74880/6083,2944/237,101760/8137,28800/2291,5499/406,11891/870,82203/5974,23265/1682,1404/95,7084/475,146916/9785,8316/551,49933/3090,345189/21218,97695/5974,644/37,66780/3811,18900/1073,460305/24514,130275/6902,2544/127,74160/3683,1241/58,3240/143
CONDITIONAL on EXACT-N	120	72	-36,100,118	3	18	5	90	90	55/98,33/35,990/931,55/49,8/7,1815/1568,405/343,176/147,6105/5047,495/406,48/25,288/133,16/7,33/14,1296/539,256/105,1776/721,72/29,333/115,9990/3059,555/161,18315/5152,44955/12397,592/161,61605/16583,4995/1334,120/31,18000/4123,1000/217,4125/868,81000/16709,3200/651,111000/22351,4500/899,1350/247,75/13,2475/416,6075/1001,80/13,8325/1339,4725/754,2160/329,2280/329,9405/1316,184680/25333,2432/329,253080/33887,10260/1363,89/11,267/32,7209/847,1424/165,9879/1133,5607/638,1360/147,935/98,36720/3773,4352/441,50320/5047,2040/203,170775/15904,419175/38269,5520/497,574425/51191,46575/4118,6600/553,518400/42581,20480/1659,710400/56959,28800/2291,19035/1421,8272/609,286935/20909,23265/1682,1944/133,1408/95,29304/1957,8316/551,34736/2163,1204905/74263,97695/5974,640/37,1800/103,18900/1073,1606725/85799,130275/6902,17760/889,74160/3683,1241/58,3240/143
CONDITIONAL on EXACT-N	120	72	-36,104,118	3	18	5	90	90	5/14,8/11,6/7,135/133,130/119,255/224,90/77,25/21,870/721,495/406,96/55,432/209,416/187,51/22,288/121,80/33,2784/1133,72/29,666/253,14985/4807,14430/4301,28305/8096,1200/341,9990/2783,925/253,96570/26059,4995/1334,27000/6479,26000/5797,6375/1364,18000/3751,5000/1023,174000/35123,4500/899,14175/2717,1050/187,26775/4576,9450/1573,875/143,91350/14729,4725/754,3240/517,59280/8789,14535/2068,41040/5687,3800/517,396720/53251,10260/1363,16198/2057,31773/3872,11214/1331,3115/363,108402/12463,5607/638,2080/231,1445/154,8160/847,6800/693,78880/7931,2040/203,263925/24992,93150/8591,8625/781,900450/80443,46575/4118,10200/869,115200/9559,32000/2607,1113600/89507,28800/2291,4230/319,1175/87,1410/103,23265/1682,3024/209,280/19,29232/1957,8316/551,54275/3399,1888770/116699,97695/5974,7000/407,730800/41921,18900/1073,2518650/134827,130275/6902,27840/1397,74160/3683,1241/58,3240/143
CONDITIONAL on EXACT-N	120	72	-36,112,118	3	18	5	88	88	66/175,99/133,96/125,110/119,33/32,54/49,121/105,666/575,858/721,495/406,144/95,48/31,32/17,21/10,864/385,999/437,176/75,1248/515,72/29,1110/391,1800/589,2331/736,5994/1771,407/115,8658/2369,4995/1334,2000/527,945/247,525/124,10800/2387,216/47,440/93,1050/221,15600/3193,4500/899,2205/416,810/143,4560/799,77/13,630/103,4725/754,1197/188,1246/187,24624/3619,1672/235,35568/4841,13083/1760,10260/1363,160/21,4806/605,623/75,17/2,48594/5665,5607/638,4896/539,2992/315,21735/2272,7072/721,2040/203,55890/5467,840/79,759/71,80730/7313,46575/4118,69120/6083,2816/237,99840/8137,2538/203,28800/2291,5687/435,40326/2987,1296/95,23265/1682,6776/475,144144/9785,8316/551,23881/1545,169338/10609,97695/5974,616/37,65520/3811,18900/1073,225810/12257,130275/6902,2496/127,74160/3683,1241/58,3240/143
CONDITIONAL on EXACT-N	120	72	-36,116,118	3	18	5	78	78	55/119,165/224,45/49,16/17,22/21,825/721,495/406,555/391,3/2,144/77,1000/527,32/15,1665/736,240/103,525/221,72/29,4995/1771,2280/799,375/124,74/23,623/187,8325/2369,4995/1334,9000/2387,1575/416,80/21,400/93,855/188,15000/3193,675/143,4500/899,1869/352,70/13,20520/3619,7875/1339,85/14,4725/754,304/47,801/121,15525/2272,34200/4841,10260/1363,1246/165,4080/539,600/79,9345/1133,46575/5467,544/63,5607/638,6800/721,57600/6083,690/71,2040/203,2115/203,77625/7313,2560/237,46575/4118,216/19,96000/8137,1034/87,28800/2291,1232/95,38775/2987,23265/1682,4342/309,27720/1957,8316/551,560/37,162825/10609,97695/5974,63000/3811,18900/1073,217125/12257,130275/6902,2400/127,74160/3683,1241/58,3240/143
